Integrais por Barra PC
Tempo;Resultado;Erro;A;B
0.001;2499.24;0.760126;0;10
0;2498.73;1.26997;0;10
0;2498.1;1.89967;0;10
0.001;2497.35;2.64916;0;10
0;2496.48;3.51836;0;10
0;2499.66;0.3402;0;10
0.001;2498.56;1.43991;0;10
0;2497.34;2.65916;0;10
0;2496;3.99782;0;10
0.001;2498.75;1.24999;0;10
0;2497.18;2.81903;0;10
0;2499.72;0.280212;0;10
0.001;2497.92;2.07958;0;10
0;2496;3.99783;0;10
0;2498.22;1.77975;0;10
0.001;2496.07;3.92791;0;10
0;2498.08;1.91968;0;10
0;2499.99;0.01023;0;10
0;2497.5;2.49929;0;10
0.001;2499.2;0.800136;0;10
0;2496.48;3.51837;0;10
0;2497.97;2.02962;0;10
0.001;2499.36;0.640174;0;10
0;2496.3;3.69818;0;10
0;2497.48;2.51929;0;10
0.001;2498.56;1.43993;0;10
0;2499.54;0.460208;0;10
0;2496.03;3.96788;0;10
0;2496.8;3.19871;0;10
0.001;2497.47;2.52928;0;10
0;2498.04;1.95967;0;10
0;2498.51;1.48991;0;10
0.001;2498.88;1.12006;0;10
0;2499.15;0.850139;0;10
0;2499.32;0.680179;0;10
0.001;2499.39;0.610194;0;10
0;2499.36;0.640189;0;10
0;2499.23;0.770163;0;10
0.001;2499;1.0001;0;10
0;2498.67;1.32999;0;10
0;2498.24;1.75979;0;10
0;2497.71;2.28947;0;10
0.001;2497.08;2.91898;0;10
0;2496.35;3.64826;0;10
0;2495.52;4.47725;0;10
0.001;2499.16;0.840155;0;10
0;2498.14;1.85974;0;10
0;2497.02;2.97893;0;10
0.001;2495.8;4.19762;0;10
0;2499.09;0.910141;0;10
0;2497.68;2.31946;0;10
0;2496.17;3.82807;0;10
0.001;2499.2;0.800173;0;10
0;2497.5;2.49933;0;10
0;2495.7;4.2975;0;10
0.001;2498.47;1.52992;0;10
0;2496.48;3.51842;0;10
0;2499.08;0.920148;0;10
0.001;2496.9;3.09883;0;10
0;2499.33;0.67021;0;10
0;2496.96;3.03889;0;10
0;2499.22;0.780188;0;10
0.001;2496.66;3.33861;0;10
0;2498.75;1.25005;0;10
0;2496;3.99788;0;10
0.001;2497.92;2.07964;0;10
0;2499.76;0.240277;0;10
0;2496.73;3.26868;0;10
0.001;2498.4;1.5999;0;10
0;2499.99;0.0102892;0;10
0;2496.68;3.31864;0;10
0;2498.1;1.89975;0;10
0.001;2499.44;0.560246;0;10
0;2495.85;4.14771;0;10
0;2497.02;2.97896;0;10
0.001;2498.11;1.88976;0;10
0;2499.12;0.880181;0;10
0;2495.16;4.83679;0;10
0;2496;3.9979;0;10
0.001;2496.76;3.23873;0;10
0;2497.44;2.55932;0;10
0;2498.04;1.95973;0;10
0;2498.56;1.43999;0;10
0;2499;1.00016;0;10
0;2499.36;0.640246;0;10
0;2499.64;0.360289;0;10
0.001;2499.84;0.160306;0;10
0;2499.96;0.040311;0;10
0;2495;4.99656;0;10
0;2499.96;0.0403135;0;10
0.001;2499.84;0.160311;0;10
0;2499.64;0.360297;0;10
0;2499.36;0.640256;0;10
0.001;2499;1.00017;0;10
0;2498.56;1.44001;0;10
0;2498.04;1.95975;0;10
0;2497.44;2.55934;0;10
0.001;2496.76;3.23875;0;10
0;2496;3.99793;0;10
0;2495.16;4.83681;0;10
0;2499.36;0.640266;0;10
0.001;2498.37;1.62993;0;10
0;2497.3;2.69924;0;10
0;2496.15;3.84811;0;10
0.001;2494.92;5.07646;0;10
0;2498.78;1.22011;0;10
0;2497.4;2.59932;0;10
0;2495.94;4.05786;0;10
0.001;2499.6;0.400314;0;10
0;2497.99;2.00973;0;10
0;2496.3;3.69829;0;10
0;2499.76;0.240333;0;10
0.001;2497.92;2.07969;0;10
0;2496;3.99794;0;10
0;2499.26;0.740264;0;10
0.001;2497.19;2.80916;0;10
0;2495.04;4.95666;0;10
0;2498.1;1.89981;0;10
0;2495.8;4.19771;0;10
0.001;2498.73;1.27011;0;10
0;2496.28;3.71828;0;10
0;2499.08;0.920228;0;10
0;2496.48;3.5185;0;10
0.001;2499.15;0.850249;0;10
0;2496.4;3.59842;0;10
0;2498.94;1.06019;0;10
0.001;2496.04;3.95801;0;10
0;2498.45;1.55;0;10
0;2495.4;4.59719;0;10
0;2497.68;2.31956;0;10
0.001;2499.9;0.100366;0;10
0;2496.63;3.36867;0;10
0;2498.72;1.28012;0;10
0;2495.3;4.69706;0;10
0.001;2497.26;2.73925;0;10
0;2499.16;0.840268;0;10
0;2495.52;4.47737;0;10
0;2497.29;2.70928;0;10
0.001;2499;1.00023;0;10
0;2495.14;4.85684;0;10
0;2496.72;3.27877;0;10
0;2498.24;1.75992;0;10
0.001;2499.7;0.30037;0;10
0;2495.55;4.44742;0;10
0;2496.88;3.11893;0;10
0;2498.15;1.84987;0;10
0.001;2499.36;0.640328;0;10
0;2494.92;5.07652;0;10
0;2496;3.99799;0;10
0;2497.02;2.97906;0;10
0.001;2497.98;2.01978;0;10
0;2498.88;1.12021;0;10
0;2499.72;0.280386;0;10
0;2494.85;5.14642;0;10
0.001;2495.56;4.43744;0;10
0;2496.21;3.78825;0;10
0;2496.8;3.19887;0;10
0;2497.33;2.66934;0;10
0.001;2497.8;2.19968;0;10
0;2498.21;1.78993;0;10
0;2498.56;1.4401;0;10
0;2498.85;1.15021;0;10
0.001;2499.08;0.920285;0;10
0;2499.25;0.750329;0;10
0;2499.36;0.640353;0;10
0;2499.41;0.590364;0;10
0.001;2499.4;0.600364;0;10
0;2499.33;0.670352;0;10
0;2499.2;0.800324;0;10
0;2499.01;0.990275;0;10
0.001;2498.76;1.24019;0;10
0;2498.45;1.55006;0;10
0;2498.08;1.91987;0;10
0;2497.65;2.3496;0;10
0;2497.16;2.83922;0;10
